year,closed_date,city,state,zip_code,subdivision,property_type,year_built,bedrooms,baths_total,acres,sale_price,original_list_price,sale_to_list_pct,total_square_feet,price_per_sqft,days_on_market,tax_amount_annual,assessment_pending,specials_debt_balance,yearly_specials_installment,requires_shoreline_audit,seller_contribution,state_tax_strategy,grant_stack_eligible,equity_protection_score
2026,2026-02-06,Moorhead,MN,56560,Village Green 7th Add,Residential,2025,3,2.00,0.15,329900,329900,100.0,1392,237.0,353,383.07,Yes,17925.811,2155.8,FALSE,5600,Homestead Tax Shield Eligible / Lower Specials,High Potential,4.6
2026,2026-03-20,Barnesville,MN,56514,Del Acres Gilbertson 3rd Add,Residential,2022,5,4.00,0.22,630000,699900,90.0,3994,157.74,338,7287.69,No,40317.84,0.0,FALSE,18900,Homestead Tax Shield Eligible / Lower Specials,Above Threshold,3.6
2026,2026-01-29,Fargo,ND,58104,Maplewood Estates,Residential,2022,4,3.00,,578000,599000,96.5,3166,182.56,314,3042.00,Yes,8049.0,618.0,FALSE,0,Low Income Tax / Higher Specials Risk,Above Threshold,8.6
2026,2026-01-12,West Fargo,ND,58078,The Wilds 21st Addition,Residential,2024,3,2.00,,435000,482900,90.1,1671,260.32,310,759.29,No,59741.93,1272.33,FALSE,0,Low Income Tax / Higher Specials Risk,Above Threshold,1
2026,2026-03-18,Horace,ND,58047,Cub Creek 2nd Addition,Residential,2024,4,3.00,,549900,609900,90.2,2599,211.58,366,7026.45,No,62772.801,5253.39,FALSE,9980,Low Income Tax / Higher Specials Risk,Above Threshold,1
2026,2026-01-27,Fargo,ND,58103,Country Club Acres,Residential,1972,3,2.00,1.10,280000,312000,89.7,2244,124.78,349,2290.97,No,82.77,6.28,FALSE,2500,Low Income Tax / Higher Specials Risk,High Potential,10.0
2026,2026-02-03,Enderlin,ND,58027,Pierces 1st Add,Residential,1900,4,2.00,,228000,244900,93.1,2660,85.71,287,3982.00,No,0.0,0.0,FALSE,8000,Low Income Tax / Higher Specials Risk,High Potential,10.0
2026,2026-02-27,Horace,ND,58047,Southdale Farms 4th Add,Residential,2025,3,2.00,,310711,276900,112.2,1732,179.39,216,367.85,No,56148.309,4470.49,FALSE,0,Low Income Tax / Higher Specials Risk,High Potential,1
2026,2026-02-19,Blanchard,ND,58009,,Residential,1945,2,1.00,5.07,215000,275000,78.2,1320,162.88,54,1347.00,No,0.0,0.0,FALSE,7000,Low Income Tax / Higher Specials Risk,High Potential,10.0
2026,2026-01-30,Fargo,ND,58102,Keeney & Devitts 1st,Residential,1911,2,1.00,,275000,345000,79.7,993,276.94,260,3447.26,No,234.37,475.18,FALSE,0,Low Income Tax / Higher Specials Risk,High Potential,9.9
2026,2026-02-12,West Fargo,ND,58078,The Wilds 21st Add,Residential,2024,4,2.00,0.15,351250,345050,101.8,2196,159.95,301,558.40,UNKNO,14917.21,1150.71,FALSE,0,Low Income Tax / Higher Specials Risk,High Potential,5.8
2026,2026-01-07,Moorhead,MN,56560,Prairie Pkwy 1st Add,Residential,2025,4,3.00,,459569,382325,120.2,2245,204.71,252,379.00,No,31540.0,4044.0,FALSE,25000,Homestead Tax Shield Eligible / Lower Specials,Above Threshold,3.1
2026,2026-01-15,Moorhead,MN,56560,Arbor Park 5th Add,Residential,2014,2,2.00,0.21,309000,399500,77.3,1740,177.59,240,4548.00,No,0.0,0.0,TRUE,0,Homestead Tax Shield Eligible / Lower Specials,High Potential,10.0
2026,2026-02-13,Fargo,ND,58104,Golden Valley 2nd Add,Residential,2025,4,3.00,0.15,427964,425140,100.7,2770,154.5,175,480.36,No,23456.17,1605.02,FALSE,10000,Low Income Tax / Higher Specials Risk,Above Threshold,4.5
2026,2026-03-24,Fargo,ND,58104,Meadow View 2nd,Residential,2024,4,2.00,,335534,337190,99.5,2183,153.7,255,364.97,Yes,21584.77,1611.65,FALSE,0,Low Income Tax / Higher Specials Risk,High Potential,3.6
2026,2026-02-09,Fargo,ND,58104,Meadow View Add,Residential,2024,5,3.00,,560081,535595,104.6,3346,167.39,209,534.05,Yes,49325.609,3189.68,FALSE,0,Low Income Tax / Higher Specials Risk,Above Threshold,1.2
2026,2026-02-06,Fargo,ND,58102,Harwoods 2nd,Residential,1918,2,1.00,0.13,195000,209900,92.9,1658,117.61,237,2495.00,Yes,24041.0,2881.0,FALSE,1500,Low Income Tax / Higher Specials Risk,High Potential,1
2026,2026-02-27,Horace,ND,58047,Southdale Farms,Residential,2021,3,2.00,0.14,358000,378000,94.7,1832,195.41,283,4373.00,Yes,36460.0,3353.0,FALSE,0,Low Income Tax / Higher Specials Risk,High Potential,1
